SKU,Images,Meta: bacola_post_views_count,Meta: klb_product_badge_type,Meta: _alg_wc_wholesale_pricing_per_product_enabled,Meta: _alg_wc_wholesale_pricing_discount_type,Meta: _alg_wc_wholesale_pricing_levels_number,Meta: send_coupons_on_renewals,Meta: _klb_single_video_input,Meta: _monsterinsights_sitenote_active,Meta: om_disable_all_campaigns,Image Source URL,Saved Filename,Status
E2CBEE,,3.0,,,,,,,,,,,
6515E3,,5.0,,,,,,,,,,,
27CEA9,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2022/12/Lasco_iCool_Fruit_Punch_330ml__12376_zoom.jpg,66.0,type1,no,percent,0.0,no,,0.0,,,,
32183B,,4.0,,,,,,,,,,,
72FD29,,11.0,,,,,,,,,,,
31956D,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2022/12/Lasco_iCool_Regular_Water_500ml_20.3oz_2__52890_zoom-1.jpg,46.0,type1,no,percent,0.0,no,,0.0,,,,
DB8CBB,,6.0,,,,,,,,,,,
ABC233,,15.0,,,,,,,,,,,
789014,,13.0,,,,,,,,,,,
9D957A,,4.0,,,,,,,,,,,
B092C3,,3.0,,,,,,,,,,,
641F94,,5.0,,,,,,,,,,,
4F04F9,,9.0,,,,,,,,,,,
F6BEC5,,10.0,,,,,,,,,,,
FF42BD,,5.0,,,,,,,,,,,
61C8D4,,5.0,,,,,,,,,,,
F20084,,18.0,,,,,,,,,,,
5282BC,,3.0,,,,,,,,,,,
B4DF94,,11.0,,,,,,,,,,,
D540CD,,5.0,,,,,,,,,,,
0260CD,,1.0,,,,,,,,,,,
CC2CF0,,6.0,,,,,,,,,,,
6A734C,,2.0,,,,,,,,,,,
843A73,,4.0,,,,,,,,,,,
848DD1,,3.0,,,,,,,,,,,
6C3E24,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2022/12/hotpeppersauce-3oz.jpg,16.0,type1,no,percent,0.0,no,,0.0,,,,
994FF6,,15.0,,,,,,,,,,,
795BE1,,8.0,,,,,,,,,,,
C50CE6,,3.0,,,,,,,,,,,
9C488C,,6.0,,,,,,,,,,,
FA5E90,,5.0,,,,,,,,,,,
466BC2,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2022/12/bun.png,68.0,type1,no,percent,0.0,no,,0.0,,,,
01CE13,,4.0,,,,,,,,,,,
A7C44B,,6.0,,,,,,,,,,,
8EC081,,3.0,,,,,,,,,,,
13BF41,,3.0,,,,,,,,,,,
F2D723,,4.0,,,,,,,,,,,
5E6BE8,,3.0,,,,,,,,,,,
854BE3,,7.0,,,,,,,,,,,
E7C87B,,2.0,,,,,,,,,,,
8D270B,,1.0,,,,,,,,,,,
932B45,,8.0,,,,,,,,,,,
4330BA,,1.0,,,,,,,,,,,
9B492E,,2.0,,,,,,,,,,,
CB6934,,4.0,,,,,,,,,,,
5E28D2,,12.0,,,,,,,,,,,
8C2B05,,5.0,,,,,,,,,,,
263B76,,21.0,,,,,,,,,,,
75F94C,,7.0,,,,,,,,,,,
